id	output
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x5a8af443b0eb05a0ed931e126bfe459f6fc05ff6c4b533aa28e5e21efd49a8c3"}	[{"salt": "68", "amount0": "0", "amount1": "1320498673573146542781161", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xf1c82e040bddb6b667d4e374e3c3bc5202fe5529c97ad8ad7ddcd6d1fd877015"}	[{"salt": "68", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "-667194811127058195040"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x826eae02a653026ae8cf748a03bb7197484648f22eeed59341db5284e00258bf"}	[{"salt": "73", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-248861683"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x02f28f9a395d285d86a4a4dc4d0712051fa427d682eb462a3d0df05c88fa5601"}	[{"salt": "73", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "49611651"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xc1bb3b77be707875340101cac56592e4fac0d88d25d02448d4974e925c130e7b"}	[{"salt": "73", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x8a65f90945cc6f86a279cf8fcf94491c814d0cabbf8863cd55baac93415b9af1"}	[{"salt": "74", "amount0": "27942810508381", "amount1": "912", "ordinal": 0, "tickLower": -245070, "tickUpper": -242490, "liquidityDelta": "-2633172881217"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x7da30a2e8f8fd0a9d9e83b8d5e6d656ce22577e6e78173b89997e8cc20f004bf"}	[{"salt": "76", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -337440, "tickUpper": -321300, "liquidityDelta": "-179651874147252"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x15f66ef8383d3234115add0b66978beae412de1edc2a3910a225ca47c5954cab"}	[{"salt": "76", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -337440, "tickUpper": -321300, "liquidityDelta": "-1814665395427"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x526e873c892a324a657c24f5b8836a0d834179055b2e59245a1f6f2577a4712d"}	[{"salt": "77", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 77400, "tickUpper": 92200, "liquidityDelta": "-1918728823902960361886"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xc075f627a1da61bd9427f771cd99a1535da9470eab9d2c2509bbc0a4fc246ee2"}	[{"salt": "75", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 68520, "tickUpper": 68820, "liquidityDelta": "-126522231"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x3f6a6f5d81214e1c6fa591a491fba91f7710af1b17259ad95af773e0d260c2a3"}	[{"salt": "56", "amount0": "16424959758858712", "amount1": "428044", "ordinal": 0, "tickLower": -246370, "tickUpper": -240770, "liquidityDelta": "-193142567671213"}]
